time,open,high,low,price,vwap,volume,currency,log_return
2023-02-07,1615.25,1677.30,1610.97,1672.4,1648.09,34980.30665900,Ethereum,
2023-02-08,1672.00,1698.00,1630.77,1650.33,1664.85,27590.55606086,Ethereum,-0.013284452585117464
2023-02-09,1650.32,1655.53,1522.11,1545.17,1587.13,52001.53133073,Ethereum,-0.06584133125610349
2023-02-10,1545.00,1554.20,1492.00,1514.17,1525.71,33712.24623542,Ethereum,-0.020266502610465476
2023-02-11,1513.01,1543.65,1503.33,1539.21,1524.19,21278.24094838,Ethereum,0.016401863741110786
2023-02-12,1539.21,1548.00,1494.22,1515.78,1532.75,27348.14078314,Ethereum,-0.015339139833768818
2023-02-13,1515.78,1525.14,1463.88,1506.35,1488.93,33257.12972824,Ethereum,-0.006240651861327935
2023-02-14,1506.66,1569.43,1486.38,1556.33,1530.56,32836.86309680,Ethereum,0.03264097943754639
2023-02-15,1556.65,1680.00,1544.00,1675.76,1607.20,31588.63579501,Ethereum,0.07393630818322683
2023-02-16,1676.75,1745.73,1634.17,1638.0,1692.50,58756.37463265,Ethereum,-0.022790808284496
2023-02-17,1638.00,1721.35,1630.69,1694.19,1673.57,37528.59736111,Ethereum,0.03372876507616493
2023-02-18,1694.25,1715.15,1680.43,1692.4,1693.38,16721.86657501,Ethereum,-0.0010571106432671997
2023-02-19,1692.04,1726.55,1667.18,1681.86,1696.31,13360.03982717,Ethereum,-0.006247316022127637
2023-02-20,1680.74,1719.43,1651.09,1702.65,1697.21,14239.01695394,Ethereum,0.012285537045673353
2023-02-21,1702.64,1716.12,1637.57,1659.15,1676.06,23128.48851510,Ethereum,-0.025880437853085195
2023-02-22,1659.14,1662.44,1596.24,1643.39,1628.84,28689.11699038,Ethereum,-0.00954424148364279
2023-02-23,1643.40,1678.00,1628.61,1650.54,1652.12,31354.05642040,Ethereum,0.004341325547131318
2023-02-24,1650.54,1664.52,1575.00,1607.87,1621.81,34315.98976133,Ethereum,-0.026192185380289747
2023-02-25,1607.86,1608.58,1558.29,1594.81,1588.51,15981.55437619,Ethereum,-0.00815571483329977
2023-02-26,1594.51,1650.00,1586.79,1641.54,1616.97,14524.04828427,Ethereum,0.028880218734619136
2023-02-27,1641.64,1665.00,1609.37,1633.5,1638.20,20589.03206280,Ethereum,-0.00490987355976638
2023-02-28,1633.51,1647.76,1597.07,1603.78,1627.15,16386.11888990,Ethereum,-0.018361609128793182
2023-03-01,1605.54,1669.48,1596.00,1665.22,1646.62,18342.27264224,Ethereum,0.037593903905663466
2023-03-02,1665.21,1677.63,1620.14,1648.13,1641.55,20834.93642487,Ethereum,-0.010315934964571645
2023-03-03,1648.04,1649.10,1542.13,1569.68,1570.63,22518.44527954,Ethereum,-0.048769534941577285
2023-03-04,1569.65,1577.68,1549.42,1566.58,1563.78,6522.67475427,Ethereum,-0.0019768775609027333
2023-03-05,1566.82,1588.36,1554.23,1564.5,1570.92,6729.46166360,Ethereum,-0.001328615242006707
2023-03-06,1564.10,1581.98,1555.55,1566.0,1568.83,7219.72370995,Ethereum,0.0009583134418115972
2023-03-07,1565.99,1583.63,1529.22,1561.47,1559.15,21135.43606813,Ethereum,-0.0028969123080430526
2023-03-08,1561.47,1569.72,1525.01,1532.26,1552.50,12547.52768837,Ethereum,-0.01888391554802209
2023-03-09,1532.06,1545.12,1409.64,1438.15,1482.02,39401.65757013,Ethereum,-0.06338620430995112
2023-03-10,1437.61,1448.08,1370.00,1430.0,1412.86,74543.58327086,Ethereum,-0.005683121130779219
2023-03-11,1430.00,1489.27,1415.01,1483.38,1455.74,64379.38772383,Ethereum,0.03664882341750393
2023-03-12,1483.59,1607.72,1460.43,1591.57,1529.14,59473.31029668,Ethereum,0.07039768274664833
2023-03-13,1591.71,1701.24,1570.56,1680.0,1638.04,91780.70827608,Ethereum,0.05407284297919927
2023-03-14,1679.99,1784.65,1666.00,1705.56,1723.95,85701.29606937,Ethereum,0.015099709141616059
2023-03-15,1704.84,1721.31,1616.00,1656.38,1666.00,48414.99821664,Ethereum,-0.029259004318573832
